,state,paidmedfam,paidsick,anypaid,employer,nongroup,medicaid,medicare,military,uninsured,everbreast,breastfed6mo,breastfed12mo,numbirths,poorhealth,birthrate15_44,infantmort,nummaterndeath,maternmort,immunized,white,black,hispanic,asian,native,multiple,medinc,implemented,2018,2019,2020,popavg,materndeath100k,medincnew,population
1,Alabama,0,0,0,0.588,0.078,0.139,0.038,0.024,0.133,0.711,0.377,0.237,58615,0.23,61.7,7.71,63,36.2,0.692,0.654,0.265,0.044,0.014,0.004,0.019,53913,0,4752600,4767100,"5,024,279",4847993,1.299506827,53.913,4847.993
2,Alaska,0,0,0,0.591,0.041,0.17,0.013,0.065,0.119,0.929,0.676,0.509,9822,0.16,68.1,4.99,8,NA,0.592,0.6,0.022,0.07,0.06,0.151,0.083,77845,0,709100,701700,"733,391",714730.3333,1.119303271,77.845,714.7303333
4,Arizona,0,1,1,0.568,0.069,0.188,0.019,0.017,0.138,0.854,0.583,0.404,79375,0.17,56.7,5.43,67,28.3,0.798,0.542,0.043,0.318,0.033,0.039,0.024,69056,0,7004300,7098000,"7,151,502",7084600.667,0.945713148,69.056,7084.600667
5,Arkansas,0,0,0,0.536,0.076,0.226,0.035,0.015,0.113,0.749,0.465,0.292,36564,0.23,63.2,7,44,40.4,0.706,0.721,0.152,0.078,0.016,0.006,0.024,52528,0,2921300,2922500,"3,011,524",2951774.667,1.490628688,52.528,2951.774667
6,California,1,1,1,0.57,0.087,0.225,0.013,0.009,0.095,0.899,0.623,0.436,446479,0.18,55.4,4.23,135,10.2,0.761,0.364,0.053,0.395,0.147,0.004,0.033,84907,1,38745900,38642700,"39,538,223",38975607.67,0.346370482,84.907,38975.60767
7,Colorado,1,1,1,0.635,0.092,0.14,0.013,0.025,0.095,0.94,0.661,0.396,62869,0.14,53.3,4.85,27,14.4,0.712,0.678,0.038,0.218,0.032,0.005,0.028,82254,0,5555200,5611800,"5,773,714",5646904.667,0.478138053,82.254,5646.904667
8,Connecticut,1,1,1,0.638,0.068,0.204,0.017,0.007,0.066,0.842,0.587,0.341,34258,0.12,51.1,4.38,18,NA,0.861,0.657,0.1,0.169,0.046,0.002,0.026,83771,0,3466300,3453300,"3,605,944",3508514.667,0.513037616,83.771,3508.514667
9,Delaware,0,0,0,0.635,0.064,0.184,0.02,0.021,0.075,0.836,0.548,0.349,10562,0.15,58.7,6.44,5,NA,0.825,0.614,0.218,0.097,0.039,0.003,0.028,71091,0,937700,940300,"989,948",955982.6667,0.523022035,71.091,955.9826667
10,District of Columbia,1,1,1,0.659,0.073,0.227,0.006,0.009,0.027,0.877,0.668,0.368,9079,0.14,47.7,4.96,7,NA,0.712,0.367,0.45,0.112,0.037,0.003,0.031,90088,0,667900,671300,"689,545",676248.3333,1.035122699,90.088,676.2483333
11,Florida,0,0,0,0.529,0.138,0.118,0.023,0.019,0.173,0.71,0.403,0.23,220002,NA,56.6,6.1,141,21.7,0.705,0.53,0.15,0.266,0.027,0.002,0.024,63062,0,20843500,20992000,"21,538,187",21124562.33,0.66746945,63.062,21124.56233
12,Georgia,0,0,0,0.604,0.075,0.105,0.023,0.023,0.17,0.826,0.531,0.337,126371,0.19,58,7.02,108,28.8,0.712,0.52,0.313,0.098,0.041,0.002,0.025,66559,0,10212800,10294000,"10,711,908",10406236,1.037839234,66.559,10406.236
14,Hawaii,0,0,0,0.678,0.058,0.155,0.011,0.045,0.054,0.901,0.709,0.541,16797,0.13,63.9,5.12,7,NA,0.776,0.204,0.012,0.103,0.394,0.001,0.184,84857,0,1354800,1343000,"1,455,271",1384357,0.505649915,84.857,1384.357
15,Idaho,0,0,0,0.603,0.114,0.093,0.018,0.018,0.155,0.935,0.651,0.407,22063,0.15,64,4.31,11,NA,0.792,0.816,0.007,0.129,0.012,0.009,0.026,66474,0,1719600,1750900,"1,839,106",1769868.667,0.621515043,66.474,1769.868667
16,Illinois,0,0,0,0.653,0.07,0.162,0.019,0.006,0.089,0.849,0.587,0.354,140128,0.15,56.1,5.67,54,12.9,0.736,0.609,0.136,0.176,0.056,0.001,0.022,72205,0,12438400,12362300,"12,812,508",12537736,0.430699769,72.205,12537.736
17,Indiana,0,0,0,0.641,0.061,0.162,0.024,0.01,0.102,0.859,0.529,0.303,80859,0.18,61.7,6.54,68,28.2,0.662,0.786,0.092,0.072,0.024,0.002,0.023,62743,0,6487100,6511800,"6,785,528",6594809.333,1.031113965,62.743,6594.809333
18,Iowa,0,0,0,0.672,0.065,0.186,0.014,0.009,0.054,0.824,0.583,0.382,37649,0.14,63.4,5.02,14,NA,0.847,0.853,0.039,0.063,0.023,0.003,0.019,65600,0,3056800,3060200,"3,190,369",3102456.333,0.451255344,65.6,3102.456333
19,Kansas,0,0,0,0.66,0.075,0.098,0.02,0.022,0.126,0.871,0.599,0.395,35395,0.15,63,5.42,23,21.7,0.73,0.757,0.055,0.122,0.028,0.006,0.032,64124,0,2814700,2811200,"2,937,880",2854593.333,0.80571897,64.124,2854.593333
20,Kentucky,0,0,0,0.577,0.054,0.243,0.035,0.014,0.077,0.747,0.493,0.345,53069,0.24,62.6,4.9,63,39.7,0.808,0.845,0.08,0.037,0.016,0.001,0.02,55573,0,4320300,4319300,"4,505,836",4381812,1.437761364,55.573,4381.812
21,Louisiana,0,0,0,0.518,0.067,0.274,0.026,0.014,0.101,0.711,0.45,0.242,58941,0.21,63.9,7.97,56,31.8,0.621,0.588,0.319,0.052,0.017,0.005,0.019,52087,0,4519300,4498600,"4,657,757",4558552.333,1.228460176,52.087,4558.552333
22,Maine,0,1,1,0.6,0.084,0.176,0.027,0.015,0.098,0.866,0.642,0.41,11779,0.14,50.6,5.43,3,NA,0.837,0.932,0.014,0.017,0.011,0.007,0.019,64767,0,1299500,1302300,"1,362,359",1321386.333,0.227034284,64.767,1321.386333
23,Maryland,1,1,1,0.658,0.071,0.16,0.019,0.021,0.071,0.885,0.668,0.43,70178,0.15,59.2,5.84,39,18.6,0.782,0.499,0.296,0.106,0.064,0.002,0.032,90203,0,5870800,5875500,"6,177,224",5974508,0.652773417,90.203,5974.508
24,Massachusetts,1,1,1,0.667,0.071,0.213,0.013,0.005,0.031,0.8,0.629,0.442,69117,0.13,49.6,3.73,30,14.7,0.821,0.705,0.07,0.124,0.067,0.002,0.032,89645,0,6659900,6650800,"7,029,917",6780205.667,0.442464454,89.645,6780.205667
